14
Year,Month,Day,TempMax,TempAvg,TempMin,DewPointMax,DewPointAvg,DewPointMin,HumidityMax,HumidityAvg,HumidityMin,WindMax,WindAvg,WindMin,PressureMax,PressureAvg,PressureMin,Precipitation
2019,1,25,50,43.9,39,40,37.6,35,89,79,63,9,5.2,0,30.1,30,30,0
2019,1,26,51,41.2,36,39,36.9,34,97,85.6,61,10,6.7,0,30.1,30,29.9,0
2019,1,27,43,39.6,36,38,36.9,34,100,90.2,82,12,6.9,0,29.9,29.9,29.9,0
2019,1,28,51,42.5,37,38,34.4,30,93,74.6,52,15,10.6,6,29.9,29.8,29.7,0
2019,1,29,54,43.5,36,35,29.6,27,79,59.7,40,12,6.9,0,29.7,29.6,29.6,0
2019,1,30,50,42,34,36,31.7,29,85,67.4,44,6,2.5,0,29.6,29.5,29.4,0
2019,1,31,53,46.5,37,40,35.9,32,86,67.3,52,9,5.4,0,29.4,29.4,29.2,0
2019,2,1,50,47.6,45,47,43.9,38,93,87.1,68,13,8.1,0,29.2,29.2,29.1,0.01
2019,2,2,48,45.3,41,44,41,34,93,85.1,73,15,7.2,0,29.2,29.1,29,0.68
2019,2,3,41,36,31,37,31.2,28,93,82.8,67,22,11.1,0,29,28.9,28.9,0.03
2019,2,4,32,26.9,25,29,21.2,15,92,79.4,63,24,18.1,8,29.3,29.1,29,0.15
2019,2,5,34,27.9,21,20,17.3,14,78,65.2,52,8,4,0,29.6,29.4,29.3,0.07
2019,2,6,37,28.8,21,22,18.8,15,85,66.9,52,10,5,0,29.9,29.8,29.6,0
2019,2,7,39,31.8,25,24,20.6,17,72,64,49,8,5.6,0,29.9,29.8,29.8,0
