16
Year,Month,Day,TempMax,TempAvg,TempMin,DewPointMax,DewPointAvg,DewPointMin,HumidityMax,HumidityAvg,HumidityMin,WindMax,WindAvg,WindMin,PressureMax,PressureAvg,PressureMin,Precipitation
2019,2,4,32,26.9,25,29,21.2,15,92,79.4,63,24,18.1,8,29.3,29.1,29,0.15
2019,2,5,34,27.9,21,20,17.3,14,78,65.2,52,8,4,0,29.6,29.4,29.3,0.07
2019,2,6,37,28.8,21,22,18.8,15,85,66.9,52,10,5,0,29.9,29.8,29.6,0
2019,2,7,39,31.8,25,24,20.6,17,72,64,49,8,5.6,0,29.9,29.8,29.8,0
2019,2,8,36,32.4,29,31,28.2,24,92,84.7,67,15,8.2,3,29.8,29.4,29.2,0
2019,2,9,32,29.9,27,27,24.8,18,89,81.5,66,23,15.1,7,29.4,29.2,29.1,0.61
2019,2,10,36,30.9,21,32,24.6,13,92,78,64,24,14.3,5,29.4,29.2,29.1,0.01
2019,2,11,37,33.4,29,34,29.5,24,92,86,76,15,7.8,0,29.3,29.2,29.2,0.16
2019,2,12,39,36.1,34,36,33.1,31,93,88.9,82,13,9.1,6,29.3,29.2,29.2,1.52
2019,2,13,39,36.3,32,35,32,27,93,84.8,72,13,7.3,3,29.2,29.1,29,0.56
2019,2,14,44,38.9,30,37,31.3,25,93,75.5,49,15,9.2,3,29,28.8,28.6,0.01
2019,2,15,47,42.1,38,38,34.4,32,83,74.4,66,15,7.3,0,29.3,29.1,28.9,0.12
2019,2,16,44,39.3,36,39,35.7,33,93,87.3,76,9,4.1,0,29.5,29.4,29.3,0
2019,2,17,42,37.4,34,35,32.9,31,93,84.2,67,6,3.5,0,29.9,29.7,29.5,0.15
2019,2,18,45,39.5,36,36,33.9,32,89,81,63,9,5.1,0,29.9,29.9,29.8,0
2019,2,19,42,40.1,38,38,36,35,89,85.3,82,15,7.4,0,29.8,29.6,29.4,0.05
